0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
42   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/student/Projects/Building-Oregon/jetty/contexts at interval 0
61   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/student/Projects/Building-Oregon/jetty/contexts/solr.xml
1077 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
5537080 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – looking to close /home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/data/index [CachedDir<<refCount=0;path=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/data/index;done=false>>]
5537080 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing directory: /home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/data/index
5537080 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – looking to close /home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/data [CachedDir<<refCount=0;path=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/data;done=false>>]
5537080 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing directory: /home/student/Projects/Building-Oregon/jetty/solr/blacklight-core/data
5537080 [Thread-0] INFO  org.apache.solr.core.SolrCore  – [blacklight-core-test]  CLOSING SolrCore org.apache.solr.core.SolrCore@1e0137f1
5537080 [Thread-0] INFO  org.apache.solr.update.UpdateHandler  – closing DirectUpdateHandler2{commits=0,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
5537081 [Thread-0] INFO  org.apache.solr.update.SolrCoreState  – Closing SolrCoreState
5537081 [Thread-0] INFO  org.apache.solr.update.DefaultSolrCoreState  – SolrCoreState ref count has reached 0 - closing IndexWriter
5537081 [Thread-0] INFO  org.apache.solr.update.DefaultSolrCoreState  – closing IndexWriter with IndexWriterCloser
5537081 [Thread-0] INFO  org.apache.solr.core.SolrCore  – [blacklight-core-test] Closing main searcher on request.
5537081 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing StandardDirectoryFactory - 2 directories currently being tracked
5537081 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – looking to close /home/student/Projects/Building-Oregon/jetty/solr/blacklight-core-test/data [CachedDir<<refCount=0;path=/home/student/Projects/Building-Oregon/jetty/solr/blacklight-core-test/data;done=false>>]
